DEBUG:pygls.protocol:Added decorator for lsp method: bf_initialize
ERROR:pygls.protocol:Failed to handle request 0 initialize Object(processId=255393, rootPath='/home/pglandon/Projects/TD_log_Project/tests/fake_project', rootUri='file:///home/pglandon/Projects/TD_log_Project/tests/fake_project', capabilities=Object(workspace=Object(applyEdit=True, workspaceEdit=Object(documentChanges=True, resourceOperations=['create', 'rename', 'delete'], failureHandling='textOnlyTransactional'), didChangeConfiguration=Object(dynamicRegistration=True), didChangeWatchedFiles=Object(dynamicRegistration=True), symbol=Object(dynamicRegistration=True, symbolKind=Object(valueSet=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26])), executeCommand=Object(dynamicRegistration=True), configuration=True, workspaceFolders=True), textDocument=Object(publishDiagnostics=Object(relatedInformation=True), synchronization=Object(dynamicRegistration=True, willSave=True, willSaveWaitUntil=True, didSave=True), completion=Object(dynamicRegistration=True, contextSupport=True, completionItem=Object(snippetSupport=True, commitCharactersSupport=True, documentationFormat=['markdown', 'plaintext'], deprecatedSupport=True, preselectSupport=True), completionItemKind=Object(valueSet=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25])), hover=Object(dynamicRegistration=True, contentFormat=['markdown', 'plaintext']), signatureHelp=Object(dynamicRegistration=True, signatureInformation=Object(documentationFormat=['markdown', 'plaintext'], parameterInformation=Object(labelOffsetSupport=True))), definition=Object(dynamicRegistration=True, linkSupport=True), references=Object(dynamicRegistration=True), documentHighlight=Object(dynamicRegistration=True), documentSymbol=Object(dynamicRegistration=True, symbolKind=Object(valueSet=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]), hierarchicalDocumentSymbolSupport=True), codeAction=Object(dynamicRegistration=True, codeActionLiteralSupport=Object(codeActionKind=Object(valueSet=['', 'quickfix', 'refactor', 'refactor.extract', 'refactor.inline', 'refactor.rewrite', 'source', 'source.organizeImports']))), codeLens=Object(dynamicRegistration=True), formatting=Object(dynamicRegistration=True), rangeFormatting=Object(dynamicRegistration=True), onTypeFormatting=Object(dynamicRegistration=True), rename=Object(dynamicRegistration=True, prepareSupport=True), documentLink=Object(dynamicRegistration=True), typeDefinition=Object(dynamicRegistration=True, linkSupport=True), implementation=Object(dynamicRegistration=True, linkSupport=True), colorProvider=Object(dynamicRegistration=True), foldingRange=Object(dynamicRegistration=True, rangeLimit=5000, lineFoldingOnly=True), declaration=Object(dynamicRegistration=True, linkSupport=True))), trace='off', workspaceFolders=[Object(uri='file:///home/pglandon/Projects/TD_log_Project/tests/fake_project', name='fake_project')])
Traceback (most recent call last):
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/engine/base.py", line 1276, in _execute_context
    self.dialect.do_execute(
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/engine/default.py", line 593, in do_execute
    cursor.execute(statement, parameters)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/cursors.py", line 163, in execute
    result = self._query(query)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/cursors.py", line 321, in _query
    conn.query(q)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/connections.py", line 505, in query
    self._affected_rows = self._read_query_result(unbuffered=unbuffered)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/connections.py", line 724, in _read_query_result
    result.read()
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/connections.py", line 1069, in read
    first_packet = self.connection._read_packet()
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/connections.py", line 676, in _read_packet
    packet.raise_for_error()
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/protocol.py", line 223, in raise_for_error
    err.raise_mysql_exception(self._data)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/err.py", line 107, in raise_mysql_exception
    raise errorclass(errno, errval)
pymysql.err.DataError: (1406, "Data too long for column 'name' at row 1")

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pygls/protocol.py", line 324, in _handle_request
    self._execute_request(msg_id, handler, params)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pygls/protocol.py", line 249, in _execute_request
    self._send_response(msg_id, handler(params))
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pygls/protocol.py", line 56, in decorator
    ret_val = base_func(self, *args, **kwargs)
  File "/home/pglandon/Projects/TD_log_Project/src/lsp/server.py", line 39, in bf_initialize
    self.project = projectManager.lsp_add_workspace(rootPath)
  File "/home/pglandon/Projects/TD_log_Project/src/bdd/Project.py", line 124, in lsp_add_workspace
    project = self.register_project(workspacePath.name, workspacePath)
  File "/home/pglandon/Projects/TD_log_Project/src/bdd/Project.py", line 83, in register_project
    project.build(from_path)
  File "/home/pglandon/Projects/TD_log_Project/src/bdd/Project.py", line 185, in build
    self.bind_external_project()
  File "/home/pglandon/Projects/TD_log_Project/src/bdd/Project.py", line 313, in bind_external_project
    ProjectManager().register_project(
  File "/home/pglandon/Projects/TD_log_Project/src/bdd/Project.py", line 69, in register_project
    self.update_project(project_name, from_path)
  File "/home/pglandon/Projects/TD_log_Project/src/bdd/Project.py", line 59, in update_project
    session.commit()
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/orm/session.py", line 1042, in commit
    self.transaction.commit()
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/orm/session.py", line 504, in commit
    self._prepare_impl()
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/orm/session.py", line 483, in _prepare_impl
    self.session.flush()
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/orm/session.py", line 2536, in flush
    self._flush(objects)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/orm/session.py", line 2678, in _flush
    transaction.rollback(_capture_exception=True)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/util/langhelpers.py", line 68, in __exit__
    compat.raise_(
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/util/compat.py", line 182, in raise_
    raise exception
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/orm/session.py", line 2638, in _flush
    flush_context.execute()
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/orm/unitofwork.py", line 422, in execute
    rec.execute(self)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/orm/unitofwork.py", line 586, in execute
    persistence.save_obj(
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/orm/persistence.py", line 239, in save_obj
    _emit_insert_statements(
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/orm/persistence.py", line 1135, in _emit_insert_statements
    result = cached_connections[connection].execute(
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/engine/base.py", line 1011, in execute
    return meth(self, multiparams, params)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/sql/elements.py", line 298, in _execute_on_connection
    return connection._execute_clauseelement(self, multiparams, params)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/engine/base.py", line 1124, in _execute_clauseelement
    ret = self._execute_context(
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/engine/base.py", line 1316, in _execute_context
    self._handle_dbapi_exception(
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/engine/base.py", line 1510, in _handle_dbapi_exception
    util.raise_(
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/util/compat.py", line 182, in raise_
    raise exception
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/engine/base.py", line 1276, in _execute_context
    self.dialect.do_execute(
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/sqlalchemy/engine/default.py", line 593, in do_execute
    cursor.execute(statement, parameters)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/cursors.py", line 163, in execute
    result = self._query(query)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/cursors.py", line 321, in _query
    conn.query(q)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/connections.py", line 505, in query
    self._affected_rows = self._read_query_result(unbuffered=unbuffered)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/connections.py", line 724, in _read_query_result
    result.read()
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/connections.py", line 1069, in read
    first_packet = self.connection._read_packet()
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/connections.py", line 676, in _read_packet
    packet.raise_for_error()
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/protocol.py", line 223, in raise_for_error
    err.raise_mysql_exception(self._data)
  File "/home/pglandon/.local/share/virtualenvs/TD_log_Project-Xd3_ybP8/lib/python3.9/site-packages/pymysql/err.py", line 107, in raise_mysql_exception
    raise errorclass(errno, errval)
sqlalchemy.exc.DataError: (pymysql.err.DataError) (1406, "Data too long for column 'name' at row 1")
[SQL: INSERT INTO scope (indent_level, indent_level_id, name, module_id) VALUES (%(indent_level)s, %(indent_level_id)s, %(name)s, %(module_id)s)]
[parameters: {'indent_level': 1, 'indent_level_id': 7, 'name': 'TestBinaryReprInsufficientWidthParameterForRepresentation', 'module_id': 430}]
(Background on this error at: http://sqlalche.me/e/13/9h9h)
